Name,Date,Due Date,Participants,Tags,Type,관련 링크,상태,작성 일자
[MVP 이후]태그 추천 알고리즘의 개인화,,,,Suggestion,,,In progress,2022년 10월 18일 오전 10:46
닉네임에 대해 좀 더 생각해보자,,,,Suggestion,,,Done,2022년 10월 17일 오후 12:49
갤러리와 비슷한 요소/액션✅,,,,Suggestion,,,Done,2022년 10월 17일 오후 12:05
👨‍💻Detail view에서 검색 조건들을 보여주고 옆으로 스크롤할 유인들을 줄 UI 요소들,,,,research,,,In progress,2022년 10월 4일 오후 12:12
앱 공유하기 메뉴✅,,,,Suggestion,,,Done,2022년 10월 13일 오후 1:39
[ready]로그아웃 및 탈퇴 warning✅,,,,Suggestion,,,In progress,2022년 10월 6일 오후 4:54
[MVP 이후][shotag만의 잠재력] 모든 사이트의 스크랩 리스트를 하나로 만들기,,,,Suggestion,,,In progress,2022년 10월 7일 오후 7:51
[MVP 이후]여러 종류의 functional tags,,,,Suggestion,,,In progress,2022년 10월 11일 오후 12:39
개인화에 적합한 문구와 메시지,,,,Shotag concept,,,In progress,2022년 11월 3일 오후 2:10
detailed view에서 사진을 지울 때 지워진 이후의 화면,,,,Shotag concept,,,In progress,2022년 10월 6일 오후 4:55
recent search 가 없는 경우의 문구,,,,Shotag concept,,,Done,2022년 10월 6일 오후 4:54
검색창에서 검색버튼이 생기면 어떨까?,,,,Suggestion,,,Done,2022년 10월 7일 오후 7:28
리뷰 작성하기 메뉴❌,,,,Suggestion,,,Done,2022년 10월 13일 오후 1:21
[MVP 이후]고유명사 인식하기,,,,Suggestion,,,Not started,2022년 10월 5일 오후 6:40
"SHT Null page ",,,,Shotag concept,,,Done,2022년 11월 10일 오후 7:07
구글 계정 로그인,,,,Shotag concept,,,In progress,2022년 10월 4일 오후 4:42
직관적이고 통일성 있는 UI,,,,Shotag concept,,,In progress,2022년 9월 27일 오후 2:25
직관적인 부가 기능들,,,,Shotag concept,,,In progress,2022년 9월 27일 오후 5:02
쾌적한 성능과 UX,,,,Shotag concept,,,Done,2022년 10월 6일 오후 2:46
Main page,,,,Shotag concept,,,In progress,2022년 9월 15일 오후 6:07
애니메이션,,,,Shotag concept,,,Done,2022년 10월 4일 오후 4:48
유연한 검색,,,,Shotag concept,,,In progress,2022년 9월 15일 오후 5:46
다음 검색할 때는 더 좋은 검색이 되도록 해주자,,,,Shotag concept,,,In progress,2022년 9월 15일 오후 5:58
Explore these! menu,,,,Shotag concept,,,In progress,2022년 9월 15일 오후 5:44
스크린샷을 선택한 이후 다음 유저가 원할 법한 것을 미리 알려주자,,,,Shotag concept,,,In progress,2022년 9월 15일 오후 5:54
자주 찾는 검색어를 메인 화면에 고정하자,,,,Shotag concept,,,In progress,2022년 9월 27일 오후 2:21
[delayed]스샷이 필요할 때 유저가 해당 스샷을 떠올리기 전에 알림을 보내주자 screenshot notification,,,,Shotag concept,,,In progress,2022년 10월 4일 오후 3:30
[delayed]알람 기능,,,,Shotag concept,,,Not started,2022년 10월 4일 오후 4:31
[delayed]브라우저 익스텐션,,,,error-ly,,,In progress,2022년 10월 4일 오후 4:38
[delayed]액션이 끝난 후에는 해당 스샷을 쉽게 정리(tidy의 정리가 아니라 없애버린다의 정리)해버릴 수 있도록 해주자,,,,Shotag concept,,,Not started,2022년 10월 4일 오후 4:15
[delayed]Util tag ( = functional tag),,,,Shotag concept,,,Not started,2022년 10월 4일 오후 4:27
[MVP 이후]알람 관련된 기능 구상 & 액션 종료와 관련된 기능 구상,,,,Suggestion,,,In progress,2022년 10월 4일 오후 12:01
[MVP 이후]만약 태그 추가하는 걸 더 편하게 해야 한다면,,,,Suggestion,,,In progress,2022년 9월 28일 오전 10:58
[MVP 이후]이렇게 생긴 검색 results 화면은 어떨까?,,,,Suggestion,,,In progress,2022년 9월 19일 오후 3:24
[MVP 이후]monetization,,,,Suggestion,,,In progress,2022년 9월 28일 오후 3:16
[MVP 이후]정보성 사진까지 확장,,,,Suggestion,,,In progress,2022년 9월 28일 오후 1:15
대체불가능한 앱이 되는  방법,,,,research,,http://youtu.be/Jq4dljU7E9o,In progress,2022년 9월 20일 오후 3:14
[MVP 이후]액션을 쉽게 하기 위한 솔루션들,,,,Suggestion,,,In progress,2022년 10월 4일 오전 11:59
다양한 솔루션의 탐색,,,,Suggestion,,,Done,2022년 9월 20일 오후 2:50
Shotag의 확장,,,,Suggestion,,,Done,2022년 9월 7일 오후 3:46
Shotag continuity,,,,Suggestion,,,Done,2022년 9월 15일 오후 6:21
detail view,,,,Suggestion,,,Done,2022년 9월 27일 오후 12:35
